LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-96.2906898,30.078492,0,Neumann Road,,CHAPPELL HILL,,,,,75dabfc47cd11a0b
-96.3695433,30.0807413,11045,Tegeler Road,,BRENHAM,,,,,59ffb8135db5c4fc
-96.3708634,30.0805991,11850,New Wehdem Road,,BRENHAM,,,,,90ed7676ca301c1b
-96.2647308,30.0764006,0,Jones Wilke Road,,,,,,,5d927a7986a1bfec
-96.3683365,30.0795042,10925,Tegeler Road,,BRENHAM,,,,,cc108f99e9c5e372
-96.3317055,30.0762949,1678,Phillipsburg Church Road,,CHAPPELL HILL,,,,,eae1772f9f5a6ad6
-96.3711134,30.0798263,11810,New Wehdem Road,,,,,,,b8e1a5ec11e7ba59
-96.3702837,30.0801166,0,New Wehdem Road,,,,,,,dc0033e8d2a3ce84
-96.3815521,30.0757073,11109,New Wehdem Road,,BRENHAM,,,,,d64634c2e9120506
-96.3777878,30.0780034,11279,New Wehdem Road,,BRENHAM,,,,,48fb3318479f9310
-96.3927835,30.0803454,11212,Dierking Road,,BRENHAM,,,,,f9064a9f9ba6fc5f
-96.3713506,30.0760997,11518,New Wehdem Road,,BRENHAM,,,,,c730eb4d555bcfe8
-96.3359518,30.0789074,0,Sempronius Road @ Phllipsburg,,CHURCH ROAD,,,,,f1fbf7a93dc503ba
-96.1873896,30.0694219,0,Baranowski Bush Road,,BELLVILLE,,,,,62abaae2b3ec74a9
-96.1879026,30.0702642,0,Baranowski Bush Road,,BELLVILLE,,,,,734dfd34e44f986a
-96.1883969,30.069654,0,Baranowski Bush Road,,,,,,,24943614ef68e72e
-96.3721649,30.0788347,11668,New Wehdem Road,,BRENHAM,,,,,0bcad0e2143a042a
-96.3376925,30.0771197,0,Sempronius Road,,,,,,,eb06440b3e8424cc
-96.2902123,30.0739046,5019,Neumann Road,,CHAPPELL HILL,,,,,1214c71d92f5151e
-96.3252677,30.0769544,1445,Sempronius Road,,CHAPPELL HILL,,,,,151cbe93c3072265
-96.3991843,30.0783428,11255,Dierking Road,,BRENHAM,,,,,a0917efd9c5e57aa
-96.2368528,30.0751964,0,Gibbs Creek Road (Off Of),,CHAPPELL HILL,,,,,e6096759eeeba5e1
-96.3419114,30.0753693,403,Sempronius Road,,CHAPPELL HILL,,,,,0b4e046d1dc29f99
-96.2607162,30.0741712,0,Jones Wilke Road,,,,,,,1a3a28f4f8c155ab
-96.3970862,30.0774933,11251,Dierking Road,,BRENHAM,,,,,77d842995ab34b44
-96.2333688,30.07544,0,Gibbs Creek Road (Off Of),,CHAPPELL HILL,,,,,58dfe68a9f9ceb07
-96.3938358,30.0781941,0,Dierking Road,,BRENHAM,,,,,2839e32f36407096
-96.3265699,30.0777684,1447,Sempronius Road,,CHAPPELL HILL,,,,,5cf55a5d620687a1
-96.3729945,30.0780493,11640,New Wehdem Road,,BRENHAM,,,,,c2d13de6c0c4640b
-96.2676326,30.0747021,0,Jones Wilke Road,,CHAPPELL HILL,,,,,157e0f1e12f4f419
-96.2206697,30.0618548,0,Eberly Ranch Lane,,CHAPPELL HILL,,,,,5dbed75c369e9607
-96.2683971,30.0746481,0,Jones Wilke Road,,CHAPPELL HILL,,,,,fc74962179b5a5c5
-96.2162436,30.0720284,0,Eberly Ranch Lane,,CHAPPELL HILL,,,,,4e828e815dde7b52
-96.2691918,30.0745168,0,Jones Wilke Road,,CHAPPELL HILL,,,,,481fc91467ea77c4
-96.256748,30.0715942,9722,Jones-Wilke Road,,CHAPPELL HILL,,,,,114aeead0a098f56
-96.3506643,30.0774289,200,Dabney Road,,BRENHAM,,,,,e4a637634f5327f2
-96.2709468,30.0743266,10690,Jones Wilke Road,,CHAPPELL HILL,,,,,6f730c361397b0c8
-96.3955491,30.0763856,0,Dierking Road,,BRENHAM,,,,,f5e71544c49b0e86
-96.2700491,30.0743088,10604,Jones Wilke Road,,CHAPPELL HILL,,,,,5de0fb06bacdce05
-96.3519659,30.0759829,379,Dabney Road,,BRENHAM,,,,,8f9614a3bcbf0812
